ID,Fuga,BehaviorScoring,LineadeCredito,SaldoTotal,Frecuency_Global,MonetaryValue_Global,Recency_Global
1,493,1,875,5000,194,16,560.5,163
2,556,0,670,600,361,20.8666666666667,65.9645454545454,1
3,597,1,754,3400,1584,3,138.966666666667,236
4,962,0,735,600,647,44.25,601,15
5,1121,0,631,4800,2709,99.5,194.593333333333,27
6,1520,1,677,4000,889,13.56,701.82,4
7,2277,0,739,2800,7633,104.5,596.618181818182,7
8,2392,1,484,1500,5570,32.6666666666667,182.95,71
9,2692,0,634,2800,6267,33,317.637777777778,2
10,3394,1,328,800,1405,30,99.6666666666667,278
11,3691,1,576,1200,112,5,66.8,200
12,3762,1,315,2300,2310,25.3333333333333,181.0625,268
13,4247,0,531,1800,1354,73.3333333333333,46.3134693877551,5
14,4385,0,544,2400,113,46.5,87.96,29
15,5243,1,576,800,930,8,208.847857142857,4
16,5914,0,688,1500,397,43.5,275.24,4
17,6416,1,500,1900,1998,30,852,301
18,7767,1,621,1260,777,16.0555555555556,133.5575,50
19,7815,0,785,6600,85,78,338.666666666667,121
20,8438,1,617,2000,571,23.8571428571429,115.933333333333,9
21,8443,1,560,2400,2066,21.7142857142857,131.075,25
22,8629,1,492,5000,1257,12.6666666666667,80.866,29
23,9458,1,429,1800,4295,15,39.55375,174
24,10548,1,412,2340,4083,7.33333333333333,157.325,4
25,10808,0,706,2200,57,143.5,155.6,18
26,11167,1,245,1500,2735,5,674.95,224
27,11658,0,625,2000,860,85.3333333333333,84.9,20
28,11730,0,811,980,993,9.96,612.4,12
29,12084,1,619,5500,1331,17.5789473684211,527.045,9
30,12601,0,659,2900,3501,59,809.55,111
31,13968,0,852,6200,4694,32.3333333333333,174.71,2
32,14453,1,639,2300,391,60.6,120.365,20
33,14921,0,767,6600,12175,60.2,820.838571428571,2
34,14941,0,800,600,592,26.3846153846154,213.66625,1
35,15032,0,637,3100,2188,50.8333333333333,206.718571428571,1
36,16225,0,702,2200,3479,65.75,525.37,6
37,17049,1,498,500,585,31,206.75,51
38,17493,0,597,1400,391,81.5,295.9,102
39,19084,1,741,900,462,14.9565217391304,834.046666666667,4
40,19239,1,430,700,102,46.6,168.266666666667,103
41,19243,0,592,2200,4031,26.5833333333333,174.512307692308,21
42,19856,1,496,800,438,71,391.966666666667,115
43,20071,1,666,1200,356,8,829.35,161
44,20218,1,580,3300,960,22.75,136.65,158
45,20628,0,803,1800,324,277,159.45,9
46,21739,0,725,1000,535,54.75,405.466666666667,108
47,22015,1,474,1400,2420,19.3333333333333,1444.025,151
48,22300,0,836,900,138,57.8,263.001666666667,21
49,23312,1,753,900,285,4,499.5,182
50,24463,0,690,600,561,167.5,146.57,4
51,24473,1,313,500,541,5.5,64.25,249
52,24724,1,780,1000,2622,23.2142857142857,616.666666666667,30
53,24853,0,692,1800,2870,61,581.8,91
54,24932,0,771,1900,460,44.5,324.73,23
55,25073,1,538,500,67,109,147.25,26
56,25169,0,564,900,485,156,132.634,14
57,26307,0,556,3500,7266,38.6666666666667,419.061428571429,19
58,27349,0,914,10200,4452,10.2727272727273,239,2
59,28809,1,713,700,105,11,270.65,166
60,28930,1,519,2900,11780,8,1194.59357142857,255
61,29202,0,669,4800,2936,69.75,463.17,0
62,29817,0,796,7400,1304,171,355,178
63,30166,1,596,1200,602,17,266.9,9
64,30770,1,527,1000,767,5,571,53
65,30849,0,729,3600,1020,35.1,173.181818181818,0
66,31207,1,482,500,371,7,259.95,306
67,31517,0,593,1400,612,143,297.13,22
68,32503,0,777,1400,253,14.1818181818182,135.014782608696,0
69,33874,1,654,1300,2384,102,86.95,17
70,35202,0,573,500,343,96,199.3,7
71,35282,1,545,4320,7567,27.8333333333333,289.137142857143,14
72,35588,0,764,2500,234,30.3636363636364,1538.98,14
73,35715,1,703,700,182,30.3636363636364,535.95,29
74,35861,0,380,600,798,93,206.2,34
75,36072,1,463,1440,2244,14.5217391304348,179,19
76,36132,1,424,1400,5262,12.3333333333333,275.4,152
77,36966,1,439,800,1526,19,120.925454545455,19
78,37723,1,686,1400,995,14.5,645.673333333333,231
79,37826,1,623,1300,712,2,399.54,121
80,37874,0,426,1100,1977,204,760.6,14
81,37930,0,771,3100,1731,19.2352941176471,191.666111111111,4
82,37955,1,623,600,596,16.1666666666667,319.545714285714,232
83,38279,0,692,1000,60,38.2,202.8,30
84,38535,0,676,500,210,82.3333333333333,125.625,78
85,38916,0,737,1800,777,190,592.283333333333,76
86,39021,0,521,1100,1051,65,164.333333333333,89
87,40271,1,531,600,1922,5.9,79.5,4
88,40378,0,692,2100,857,154,910.95,70
89,40819,1,665,2000,328,16.7,218.94,4
90,40938,0,754,1600,2947,37.8888888888889,110.556,15
91,40945,1,628,1800,1415,28.5,256.209285714286,134
92,41339,0,700,4600,7222,38.5714285714286,354.9075,4
93,41380,0,689,900,850,58.75,671.05,39
94,42445,0,499,2600,1017,43,149.69,29
95,42584,0,583,1000,835,78.5,74.1481818181818,13
96,43133,0,577,720,762,146,76.694,9
97,43189,0,808,600,106,49,319.44,19
98,43304,0,815,3700,3502,77.3333333333333,110.84,13
